dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-11-01,2,18,1,2,1,5,2,3,5,5,0,1,0
2016-12-01,2,11,0,2,0,2,0,2,2,2,0,0,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,2,8,0,2,0,4,3,1,4,4,0,1,0
2017-04-01,2,39,0,2,0,11,7,2,11,9,3,1,1
2017-05-01,2,25,0,2,0,3,1,2,3,3,0,0,0
2017-06-01,2,25,0,2,0,4,2,0,4,2,0,2,1
2017-07-01,4,98,2,4,2,7,7,3,21,21,4,0,2
2017-08-01,5,182,2,4,1,15,5,11,21,25,9,21,7
2017-09-01,3,76,0,3,0,2,1,1,2,2,8,4,2
2017-10-01,2,90,0,2,0,2,1,0,2,1,5,1,1
2017-11-01,2,131,0,2,0,1,0,0,5,4,7,1,0
2017-12-01,2,28,0,2,0,0,2,0,2,3,8,5,1
2018-01-01,2,89,0,2,0,0,0,0,4,5,12,7,6
2018-02-01,6,74,4,4,0,0,0,0,15,14,19,6,4
2018-03-01,6,58,2,4,0,0,0,0,13,11,7,5,3
2018-04-01,2,30,0,2,0,0,0,0,1,4,0,9,0
2018-05-01,2,34,0,2,0,0,0,0,4,3,4,4,0
2018-06-01,4,87,2,3,1,0,0,0,11,11,6,7,4
2018-07-01,6,97,3,4,1,0,0,0,5,6,10,9,10
2018-08-01,17,218,11,11,5,0,0,0,37,29,103,5,8
2018-09-01,13,172,1,7,0,0,0,0,17,24,48,5,3
2018-10-01,9,104,1,7,0,0,0,0,11,10,22,4,1
2018-11-01,9,97,4,6,2,0,0,0,14,13,39,39,13
2018-12-01,5,34,0,4,0,0,0,0,8,9,26,6,4
2019-01-01,4,75,0,3,0,0,0,0,12,13,16,1,1
2019-02-01,1,29,0,1,0,0,0,0,0,0,0,3,0
2019-03-01,2,59,0,2,0,0,0,0,3,0,2,3,1
2019-04-01,5,117,0,4,0,0,0,0,8,11,21,14,3
2019-05-01,6,93,1,4,0,0,0,0,12,11,32,9,3
2019-06-01,6,114,1,4,0,0,0,0,12,12,40,8,2
2019-07-01,6,96,0,3,0,0,0,0,19,17,60,5,0
2019-08-01,7,80,0,4,0,0,0,0,26,22,73,6,2
2019-09-01,3,87,0,3,0,0,0,0,12,14,54,3,2
2019-10-01,4,88,0,3,0,1,1,0,14,16,58,2,2
2019-11-01,5,105,0,4,0,0,0,0,26,24,84,10,0
2019-12-01,6,109,3,6,1,0,0,0,22,20,43,5,3
2020-01-01,3,38,0,3,0,0,0,0,2,3,7,9,0
2020-02-01,3,16,0,3,0,0,0,0,3,2,7,4,2
2020-03-01,6,53,1,5,0,6,2,4,19,19,33,97,8
2020-04-01,6,86,2,4,0,20,1,19,38,32,79,143,8
2020-05-01,3,76,0,2,0,11,0,11,16,19,34,18,4
2020-06-01,4,48,1,3,0,4,0,3,5,3,8,17,0
2020-07-01,6,59,0,4,0,4,0,5,8,11,33,43,4
2020-08-01,3,37,0,2,0,5,0,3,9,8,59,29,3
