dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-06-01,2,83,1,1,0,0,0,0,26,10,31,0,0
2016-07-01,2,19,0,1,0,0,0,0,13,7,33,0,0
2016-08-01,6,69,4,3,2,1,0,1,7,10,22,0,0
2016-09-01,5,53,1,2,0,0,0,0,17,8,22,0,0
2016-10-01,6,50,0,1,0,0,0,0,6,7,12,0,0
2016-11-01,7,47,1,1,0,1,1,0,17,9,49,0,0
2016-12-01,5,61,0,1,0,0,0,0,6,9,13,0,0
2017-01-01,5,73,0,1,0,0,0,0,31,16,36,0,0
2017-02-01,5,81,1,2,1,0,0,0,41,18,80,0,0
2017-03-01,7,112,0,3,0,0,0,0,40,30,128,0,0
2017-04-01,12,118,4,4,1,1,0,1,47,26,133,1,0
2017-05-01,8,108,0,3,0,0,0,0,36,39,68,0,0
2017-06-01,13,165,3,4,0,1,0,0,32,35,109,1,0
2017-07-01,8,281,0,3,0,0,0,1,46,35,205,0,0
2017-08-01,11,228,2,4,1,3,0,2,52,36,200,62,12
2017-09-01,12,148,4,4,1,7,2,5,51,38,177,16,3
2017-10-01,6,172,0,2,0,1,1,0,54,24,142,11,1
2017-11-01,9,165,0,4,0,2,1,1,59,53,255,15,1
2017-12-01,7,109,0,4,0,1,1,1,14,18,61,15,1
2018-01-01,7,167,0,3,0,0,0,0,49,35,270,15,0
2018-02-01,9,224,1,4,0,4,0,3,45,17,82,6,4
2018-03-01,8,247,1,3,0,0,0,0,92,84,302,12,2
2018-04-01,9,112,1,4,0,2,0,2,54,54,238,22,4
2018-05-01,9,315,1,4,0,1,0,2,82,123,411,18,3
2018-06-01,11,282,2,5,0,1,1,0,84,68,292,18,6
2018-07-01,11,88,0,5,0,0,0,0,111,66,363,21,2
2018-08-01,8,120,0,4,0,0,0,0,112,101,453,26,3
2018-09-01,8,221,1,5,1,0,0,0,174,165,592,33,0
2018-10-01,11,282,1,5,0,0,0,0,207,248,715,35,1
2018-11-01,13,146,3,6,1,0,0,0,123,134,494,22,2
2018-12-01,13,107,3,6,0,0,0,0,96,91,518,19,5
2019-01-01,12,119,1,6,0,0,0,0,125,106,504,29,5
2019-02-01,13,207,1,6,0,0,0,0,162,145,687,23,2
2019-03-01,13,263,1,7,1,0,0,0,182,237,989,30,3
2019-04-01,12,148,0,7,0,0,0,0,121,118,652,43,5
2019-05-01,14,139,3,7,1,0,0,0,150,120,687,72,11
2019-06-01,15,287,3,5,0,0,0,0,190,235,953,46,5
2019-07-01,16,186,3,7,1,0,0,0,146,135,642,79,11
2019-08-01,13,149,1,6,1,0,0,0,133,103,659,52,6
2019-09-01,11,137,1,4,0,0,0,0,95,103,543,57,10
2019-10-01,12,180,2,5,1,0,0,0,166,133,886,61,10
2019-11-01,15,188,5,6,1,0,0,0,169,133,956,74,14
2019-12-01,12,183,0,6,0,0,0,0,138,147,806,77,10
2020-01-01,13,204,1,7,0,0,0,0,182,153,1232,62,5
2020-02-01,14,202,2,7,1,0,0,0,192,137,1025,45,7
2020-03-01,23,292,6,9,2,0,0,0,215,232,1564,59,9
2020-04-01,19,225,3,6,1,0,0,0,232,203,1335,48,11
2020-05-01,20,212,3,8,1,0,0,0,209,270,1355,47,14
2020-06-01,13,190,0,6,0,0,0,0,215,207,1481,50,10
2020-07-01,15,190,0,8,0,0,0,0,234,199,1839,50,9
2020-08-01,13,200,0,6,0,0,0,0,180,175,1083,56,13
