dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,48,545,12,8,2,0,0,0,67,2,260,0,0
2016-03-01,42,485,7,8,2,0,0,0,76,40,525,0,0
2016-04-01,47,502,8,8,3,0,0,0,61,34,395,0,0
2016-05-01,46,601,10,10,2,0,0,0,171,92,816,0,0
2016-06-01,48,585,11,10,2,0,0,0,78,68,629,1,0
2016-07-01,43,367,11,8,1,0,0,0,88,82,994,0,0
2016-08-01,44,431,6,8,0,0,0,0,132,109,1426,5,3
2016-09-01,55,504,13,13,3,0,0,0,257,76,1507,8,2
2016-10-01,65,952,13,14,2,0,0,0,123,110,1021,5,6
2016-11-01,65,1010,11,14,2,1,1,0,215,208,1760,8,7
2016-12-01,54,612,4,16,1,1,1,0,100,89,839,15,3
2017-01-01,66,771,12,17,4,0,0,0,144,129,1295,9,6
2017-02-01,72,654,13,13,3,0,0,0,149,154,1721,8,4
2017-03-01,57,528,7,12,3,2,1,0,165,133,1362,9,8
2017-04-01,51,540,7,12,1,14,1,6,118,76,662,20,22
2017-05-01,53,490,13,16,6,256,25,210,471,391,2049,70,68
2017-06-01,51,522,11,17,4,227,27,199,421,434,1863,35,31
2017-07-01,53,529,9,15,2,277,28,219,408,337,1692,50,27
2017-08-01,58,602,14,16,3,322,23,284,492,474,2233,46,30
2017-09-01,52,427,10,12,2,246,15,213,393,409,1866,45,22
2017-10-01,61,632,17,19,5,358,42,295,530,493,2780,53,39
2017-11-01,68,785,14,25,7,354,52,319,558,579,2880,64,39
2017-12-01,52,413,5,19,0,206,17,143,311,226,1577,45,32
2018-01-01,61,518,16,27,7,280,31,259,401,378,2927,62,25
2018-02-01,71,616,12,25,4,323,34,270,480,483,3447,57,34
2018-03-01,74,575,13,27,4,305,30,268,461,406,3152,62,38
2018-04-01,72,494,19,29,11,269,22,226,405,334,2673,69,41
2018-05-01,80,899,21,23,6,547,100,435,802,818,5927,66,42
2018-06-01,95,593,27,34,8,393,46,319,583,530,4413,51,33
2018-07-01,88,697,17,32,5,372,40,338,536,527,4322,89,45
2018-08-01,87,597,12,29,3,374,42,329,552,537,4108,118,49
2018-09-01,91,764,16,29,5,402,54,312,559,488,4095,93,39
2018-10-01,103,802,19,36,9,442,69,384,665,598,5109,94,44
2018-11-01,106,946,21,32,5,572,64,471,802,752,6502,90,62
2018-12-01,93,623,17,30,3,339,33,311,470,484,4325,82,43
2019-01-01,109,911,25,34,11,483,51,425,689,672,6274,122,63
2019-02-01,120,1373,27,36,9,693,58,581,1023,980,8099,132,44
2019-03-01,104,1003,15,34,5,677,74,583,1097,1156,7294,115,46
2019-04-01,118,619,23,44,12,396,50,338,697,670,4075,111,71
2019-05-01,108,747,16,42,6,473,75,427,774,770,4809,112,58
2019-06-01,102,818,21,38,5,443,72,356,645,595,3993,121,65
2019-07-01,101,796,17,39,4,476,63,395,746,675,4426,92,44
2019-08-01,102,816,15,37,3,499,63,378,894,898,5475,108,56
2019-09-01,117,806,25,42,10,469,106,454,672,751,4606,87,52
2019-10-01,119,894,22,41,6,545,67,427,774,665,5013,102,61
2019-11-01,123,835,21,47,6,514,57,382,824,717,5173,130,65
2019-12-01,99,635,19,38,7,355,70,332,537,591,4082,99,54
2020-01-01,122,884,23,48,6,513,110,471,753,804,4975,93,63
2020-02-01,117,885,23,47,10,517,91,332,796,705,4836,100,58
2020-03-01,121,993,36,53,12,560,70,492,789,812,5104,80,69
2020-04-01,125,1183,23,55,7,659,99,557,906,856,5550,95,76
2020-05-01,128,1011,25,52,3,635,59,467,981,804,5674,122,67
2020-06-01,121,644,20,52,8,447,57,388,688,622,3678,121,81
2020-07-01,118,692,17,46,4,526,112,433,759,811,4507,112,78
2020-08-01,94,445,15,38,2,392,66,362,603,670,3142,82,53
