dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-04-01,1,42,1,1,1,0,0,0,6,2,21,2,0
2015-05-01,2,43,1,1,0,0,0,0,5,6,17,0,0
2015-06-01,1,33,0,1,0,0,0,0,1,0,3,1,0
2015-07-01,2,63,1,2,1,0,0,0,6,4,14,2,0
2015-08-01,3,51,1,3,1,2,0,2,9,7,45,1,2
2015-09-01,2,58,1,2,1,0,0,0,8,9,51,3,1
2015-10-01,1,93,0,1,0,0,0,0,28,23,100,2,1
2015-11-01,3,162,1,3,1,2,0,2,45,45,154,8,1
2015-12-01,1,47,0,1,0,1,1,0,18,16,117,13,2
2016-01-01,2,72,1,2,1,0,0,0,29,28,191,10,3
2016-02-01,1,55,0,1,0,0,0,0,24,24,138,13,2
2016-03-01,1,90,0,1,0,0,0,0,35,27,236,15,3
2016-04-01,1,63,0,1,0,0,0,0,21,22,70,25,2
2016-05-01,1,89,0,1,0,1,0,0,28,28,104,15,7
2016-06-01,3,68,1,2,0,4,2,3,14,13,102,11,7
2016-07-01,4,33,1,2,0,3,0,3,15,14,95,19,3
2016-08-01,4,83,2,4,2,6,0,6,24,27,98,10,6
2016-09-01,5,79,1,2,0,6,2,3,25,26,225,12,4
2016-10-01,3,100,1,2,0,2,0,3,16,18,150,14,13
2016-11-01,6,109,4,5,3,14,1,10,41,33,166,16,7
2016-12-01,7,61,0,5,0,9,1,11,20,28,68,13,6
2017-01-01,4,31,1,3,1,3,0,3,18,13,70,18,5
2017-02-01,8,67,3,6,2,18,4,14,43,43,252,17,4
2017-03-01,5,48,0,4,0,13,2,11,28,29,161,17,5
2017-04-01,5,23,0,4,0,4,0,4,11,14,30,19,5
2017-05-01,0,0,0,0,0,0,0,0,4,2,22,14,4
2017-06-01,2,3,1,2,0,2,0,1,3,3,16,11,4
2017-07-01,0,0,0,0,0,0,0,0,2,0,31,8,2
2017-08-01,4,11,0,3,0,2,0,2,5,3,16,16,5
2017-09-01,4,36,0,3,0,2,0,3,13,14,45,9,1
2017-10-01,1,5,0,1,0,0,0,0,7,8,79,9,1
2017-11-01,5,42,1,3,0,4,0,4,10,10,111,13,1
2017-12-01,4,77,0,3,0,10,0,9,19,13,43,10,0
2018-01-01,4,37,0,3,0,5,0,6,8,17,40,7,5
2018-02-01,1,2,0,1,0,0,0,0,2,0,14,12,1
2018-03-01,2,14,0,2,0,0,0,0,10,11,127,13,4
2018-04-01,4,104,0,3,0,7,0,7,17,7,11,9,3
2018-05-01,4,91,0,3,0,10,0,10,18,38,100,4,0
2018-06-01,4,64,0,3,0,9,1,8,25,20,125,10,2
2018-07-01,4,35,0,3,0,5,1,4,16,18,105,12,3
2018-08-01,4,36,0,3,0,6,0,6,17,19,130,8,2
2018-09-01,6,63,1,5,1,7,0,5,18,18,93,8,3
2018-10-01,5,108,1,3,0,14,0,16,24,22,59,9,2
2018-11-01,6,46,1,4,1,6,0,6,13,15,50,20,7
2018-12-01,3,46,0,3,0,1,0,1,17,16,177,13,2
2019-01-01,1,6,0,1,0,0,0,0,7,7,96,6,4
2019-02-01,4,42,0,3,0,2,0,2,10,13,43,11,3
2019-03-01,6,93,2,5,2,6,1,5,17,13,73,18,8
2019-04-01,4,26,0,3,0,3,0,2,12,15,85,8,5
2019-05-01,2,41,0,2,0,1,0,2,8,7,40,9,5
2019-06-01,4,17,0,3,0,2,0,2,6,9,70,5,2
2019-07-01,4,32,0,3,0,3,0,3,10,9,49,11,4
2019-08-01,2,26,0,2,0,2,1,1,11,12,41,8,3
2019-09-01,1,2,0,1,0,0,0,0,3,3,24,13,5
2019-10-01,3,20,1,3,1,1,0,1,6,3,31,6,1
2019-11-01,4,34,0,3,0,6,0,6,12,12,36,9,3
2019-12-01,4,30,0,3,0,4,0,4,13,11,86,11,1
2020-01-01,5,21,1,3,0,3,0,3,11,10,61,13,2
2020-02-01,1,15,0,1,0,0,0,0,10,12,104,15,3
2020-03-01,4,18,0,3,0,2,0,2,13,9,43,9,1
2020-04-01,6,50,2,4,1,5,1,4,16,20,154,14,8
2020-05-01,5,61,0,3,0,8,0,8,15,14,42,12,6
2020-06-01,4,8,1,2,0,2,0,2,6,6,39,9,3
2020-07-01,1,7,0,1,0,0,0,0,4,7,86,18,1
2020-08-01,2,8,0,2,0,2,0,1,5,1,13,17,5
