dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-04-01,3,28,3,1,1,0,0,0,15,9,40,66,9
2015-05-01,2,5,1,1,0,2,0,2,18,4,33,9,5
2015-06-01,2,67,0,1,0,0,0,0,27,24,57,4,1
2015-07-01,1,76,0,1,0,0,0,0,27,26,70,4,8
2015-08-01,2,101,0,1,0,0,0,0,30,33,91,19,13
2015-09-01,1,22,0,1,0,0,0,0,14,11,65,19,3
2015-10-01,3,50,1,1,0,1,0,0,17,0,24,12,4
2015-11-01,2,73,1,2,1,1,0,1,13,6,79,6,2
2015-12-01,4,48,0,2,0,2,0,3,24,38,95,5,3
2016-01-01,2,67,0,1,0,0,0,0,20,9,42,6,3
2016-02-01,3,63,0,1,0,1,0,1,15,6,32,19,3
2016-03-01,5,131,3,3,2,1,0,1,25,28,82,9,3
2016-04-01,6,113,3,3,1,2,0,2,11,5,18,26,5
2016-05-01,6,139,0,2,0,7,3,4,21,19,53,10,6
2016-06-01,5,115,0,2,0,3,2,1,10,7,10,8,2
2016-07-01,7,112,3,4,3,2,0,2,7,3,17,8,6
2016-08-01,8,202,3,4,2,2,0,1,15,2,13,16,5
2016-09-01,7,163,1,2,0,1,1,0,7,5,2,8,10
2016-10-01,6,138,1,4,0,1,1,1,3,6,14,16,4
2016-11-01,9,246,1,4,0,2,1,1,6,5,1,8,4
2016-12-01,7,96,0,3,0,2,0,1,3,2,8,8,5
2017-01-01,15,219,8,8,4,124,17,105,180,180,28,26,11
2017-02-01,15,105,6,5,1,91,31,54,96,89,76,6,8
2017-03-01,19,164,4,8,3,136,43,94,146,146,447,9,9
2017-04-01,18,186,2,9,1,173,37,122,178,161,446,8,7
2017-05-01,15,233,1,8,0,206,52,175,235,247,442,8,1
2017-06-01,19,213,4,7,0,28,9,20,48,45,96,21,6
2017-07-01,18,306,4,5,0,0,0,0,1,0,1,2,0
2017-08-01,20,229,5,4,0,3,1,1,4,2,2,13,3
2017-09-01,14,223,2,5,0,0,0,0,0,0,0,15,2
2017-10-01,13,161,0,4,0,0,0,0,5,0,5,15,7
2017-11-01,12,261,0,4,0,0,0,0,0,0,0,15,2
2017-12-01,12,173,0,4,0,3,0,0,4,1,9,5,3
2018-01-01,16,218,1,7,1,9,9,1,9,12,7,11,1
2018-02-01,14,122,2,6,0,0,1,0,1,1,2,11,4
2018-03-01,16,260,1,6,0,1,0,0,2,0,5,10,7
2018-04-01,15,219,1,5,0,0,0,0,1,0,0,10,6
2018-05-01,13,283,0,4,0,0,0,0,1,0,1,7,9
2018-06-01,13,181,0,3,0,0,0,0,1,0,1,7,2
2018-07-01,15,225,1,5,0,0,0,0,1,0,2,10,4
2018-08-01,16,213,0,5,0,0,0,0,4,1,7,16,2
2018-09-01,17,134,3,4,0,0,0,0,0,0,0,13,5
2018-10-01,16,206,1,5,0,0,0,0,1,0,1,11,1
2018-11-01,17,218,0,4,0,0,0,0,1,0,1,11,3
2018-12-01,15,182,0,4,0,0,0,0,2,0,2,24,9
2019-01-01,13,208,1,4,0,0,0,0,0,0,0,7,3
2019-02-01,15,72,2,4,0,0,0,0,1,0,1,20,2
2019-03-01,16,149,1,4,0,0,0,0,0,1,1,11,2
2019-04-01,19,139,2,6,2,0,0,0,0,0,0,26,13
2019-05-01,19,140,2,6,0,0,0,0,1,1,12,18,6
2019-06-01,17,104,1,6,1,0,0,0,1,1,3,11,5
2019-07-01,16,116,0,7,0,1,0,0,2,0,2,13,9
2019-08-01,18,241,1,5,0,0,0,0,1,0,3,12,3
2019-09-01,13,88,0,5,0,0,0,0,1,0,1,16,3
2019-10-01,18,251,1,5,0,0,0,0,4,0,10,49,12
2019-11-01,15,138,0,6,0,0,0,0,1,1,9,22,5
2019-12-01,16,148,1,6,0,0,0,0,0,0,0,18,6
2020-01-01,17,112,1,7,0,0,0,0,1,0,2,10,0
2020-02-01,14,70,0,5,0,0,0,0,0,0,0,6,5
2020-03-01,19,124,3,6,0,0,0,0,0,0,0,13,6
2020-04-01,22,225,2,7,1,1,0,0,5,1,16,17,4
2020-05-01,15,109,0,5,0,0,0,0,1,0,1,32,5
2020-06-01,15,95,1,5,0,0,0,0,2,1,30,10,3
2020-07-01,18,51,2,6,0,1,0,0,2,1,2,18,0
2020-08-01,21,156,4,7,1,1,0,0,1,0,1,12,3
