dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-05-01,1,5,1,1,1,1,0,0,1,0,3,4,1
2016-06-01,1,1,0,1,0,0,0,0,9,0,12,0,2
2016-07-01,1,10,0,1,0,0,0,0,3,2,3,3,1
2016-08-01,2,4,1,2,1,1,0,1,3,1,6,0,1
2016-09-01,2,31,1,1,0,9,1,8,18,13,66,2,1
2016-10-01,4,30,2,3,2,18,4,10,50,25,168,5,3
2016-11-01,6,56,4,2,1,19,3,17,46,43,158,6,5
2016-12-01,2,65,0,1,0,17,2,16,32,38,95,2,1
2017-01-01,3,52,1,2,1,37,4,27,99,74,386,7,4
2017-02-01,9,81,6,8,5,74,8,64,135,119,619,6,8
2017-03-01,9,41,6,3,0,45,4,31,77,52,466,7,11
2017-04-01,6,37,1,3,1,40,6,24,70,52,400,6,0
2017-05-01,10,68,2,4,1,62,12,61,109,95,629,9,2
2017-06-01,10,89,2,5,0,96,7,82,121,126,654,10,2
2017-07-01,12,131,2,6,1,145,18,130,182,179,919,10,4
2017-08-01,5,116,0,1,0,123,10,116,155,168,718,9,6
2017-09-01,4,88,0,1,0,96,14,86,129,126,456,9,5
2017-10-01,4,98,1,2,1,107,5,98,139,128,464,12,12
2017-11-01,4,71,1,1,0,79,4,71,101,106,340,13,5
2017-12-01,5,111,2,2,0,145,23,111,195,161,456,45,7
2018-01-01,4,114,1,1,0,134,27,113,174,185,518,58,13
2018-02-01,7,85,4,4,1,94,14,85,131,119,321,26,14
2018-03-01,9,198,7,5,2,166,20,123,211,192,792,18,13
2018-04-01,8,238,1,4,0,209,46,182,244,260,689,32,4
2018-05-01,7,236,2,2,0,139,15,110,165,199,604,13,8
2018-06-01,9,328,2,2,0,90,26,48,144,92,798,12,7
2018-07-01,9,149,2,4,2,57,18,17,107,47,574,27,3
2018-08-01,10,114,0,4,0,39,11,21,81,43,431,24,6
2018-09-01,6,156,1,3,0,47,15,22,79,65,457,58,3
2018-10-01,6,99,2,2,0,43,13,19,82,55,482,21,8
2018-11-01,5,267,1,2,0,48,42,50,87,125,826,35,8
2018-12-01,8,341,3,3,1,42,10,22,67,44,448,42,13
2019-01-01,4,170,0,2,0,37,5,9,75,24,318,21,9
2019-02-01,5,190,2,2,0,33,15,16,50,49,317,15,11
2019-03-01,4,196,1,2,0,24,8,10,62,30,455,17,19
2019-04-01,4,73,0,2,0,16,6,6,32,19,209,13,8
2019-05-01,4,42,0,2,0,17,15,11,38,33,413,14,4
2019-06-01,3,55,0,2,0,16,7,9,35,35,350,8,2
2019-07-01,3,141,0,2,0,9,5,5,39,25,234,14,5
2019-08-01,3,73,0,2,0,4,4,7,21,30,269,8,9
2019-09-01,5,87,3,2,0,23,15,18,32,41,234,7,7
2019-10-01,4,123,1,2,0,27,1,25,41,36,330,12,10
2019-11-01,3,89,0,2,0,25,8,10,32,26,203,25,17
2019-12-01,4,48,2,3,0,19,8,12,39,33,342,31,27
2020-01-01,9,107,5,4,1,53,12,28,105,67,718,9,8
2020-02-01,7,191,1,3,0,56,20,37,89,100,726,14,7
2020-03-01,7,96,0,3,0,35,7,20,74,40,445,10,10
2020-04-01,7,110,0,3,0,35,5,27,65,51,568,14,9
2020-05-01,5,81,1,3,1,27,5,20,52,42,413,7,7
2020-06-01,4,87,1,3,0,23,3,14,43,31,332,9,8
2020-07-01,3,124,0,3,0,24,4,19,39,39,304,19,8
2020-08-01,2,39,0,2,0,17,3,13,30,24,137,9,5
