dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-09-01,26,134,18,13,8,30,21,4,95,45,682,2155,197
2015-10-01,21,80,17,13,8,58,43,4,155,109,1796,787,97
2015-11-01,12,91,7,10,4,31,26,7,94,57,813,192,37
2015-12-01,6,66,1,5,0,27,16,1,54,30,473,76,12
2016-01-01,4,108,2,4,2,25,20,6,56,40,545,80,12
2016-02-01,7,16,1,6,0,7,8,2,28,18,190,77,13
2016-03-01,23,130,18,11,5,70,43,4,126,80,1325,96,45
2016-04-01,17,255,9,7,4,55,53,6,128,95,1372,59,18
2016-05-01,17,212,6,10,3,77,49,11,114,84,1477,46,17
2016-06-01,44,510,29,19,10,182,158,17,300,231,3080,44,45
2016-07-01,30,703,10,13,1,182,157,19,347,232,3174,72,20
2016-08-01,22,479,7,14,3,123,112,7,246,182,2069,60,28
2016-09-01,21,256,8,12,3,90,72,11,144,136,1509,83,48
2016-10-01,34,581,19,16,4,190,166,8,277,282,2432,138,36
2016-11-01,50,515,23,17,4,193,176,5,314,268,2579,69,62
2016-12-01,70,555,50,18,9,426,277,101,557,481,5420,45,84
2017-01-01,56,872,19,19,5,334,259,78,492,452,4597,66,59
2017-02-01,41,621,12,15,2,192,181,29,321,322,3049,67,54
2017-03-01,67,931,30,21,5,301,252,32,526,483,5757,132,90
2017-04-01,44,580,10,14,2,188,172,24,279,276,2866,65,33
2017-05-01,73,920,42,25,16,339,297,47,482,449,4347,79,82
2017-06-01,44,906,9,13,2,324,149,145,496,421,4795,189,42
2017-07-01,42,800,9,11,2,235,186,71,343,367,4171,96,37
2017-08-01,32,936,5,12,3,255,197,55,385,359,3722,108,59
2017-09-01,45,630,16,13,3,302,204,63,437,387,3304,104,83
2017-10-01,38,895,14,9,2,283,245,34,449,404,4143,199,90
2017-11-01,37,882,10,10,1,245,190,69,345,341,3208,103,60
2017-12-01,62,493,29,11,1,283,77,128,363,265,3053,165,105
2018-01-01,46,433,9,10,1,198,82,105,277,240,2768,170,85
2018-02-01,48,472,12,12,2,212,153,46,302,295,2957,124,71
2018-03-01,47,668,8,12,2,245,250,52,366,490,4116,121,59
2018-04-01,44,638,8,12,4,210,162,53,374,373,3410,914,85
2018-05-01,49,819,13,17,6,220,163,52,332,294,2390,176,58
2018-06-01,32,390,6,11,3,178,81,68,248,243,1923,108,35
2018-07-01,36,592,3,12,1,188,136,51,277,255,2155,362,46
2018-08-01,32,640,5,10,0,222,137,48,324,258,2210,201,64
2018-09-01,24,224,5,9,3,81,33,25,140,72,1084,204,60
2018-10-01,25,273,7,9,4,101,80,31,157,164,1219,137,88
2018-11-01,25,431,10,10,2,86,82,9,175,137,1644,297,94
2018-12-01,38,603,14,13,2,147,106,32,233,210,2090,221,74
2019-01-01,44,419,20,12,3,167,123,43,251,260,2225,178,87
2019-02-01,47,474,15,12,1,200,125,45,306,239,2454,147,76
2019-03-01,48,420,15,17,4,185,151,22,298,279,2857,447,105
2019-04-01,44,315,13,16,3,140,63,43,211,164,1791,181,79
2019-05-01,33,392,3,13,1,145,116,51,223,239,2296,204,57
2019-06-01,31,465,5,12,2,150,108,38,223,205,2196,148,61
2019-07-01,28,481,4,9,1,179,138,53,235,254,2438,192,57
2019-08-01,31,437,7,10,1,140,75,63,199,197,1791,166,54
2019-09-01,19,152,8,10,1,79,35,35,112,95,817,120,63
2019-10-01,20,227,7,11,3,85,50,36,117,125,1101,146,76
2019-11-01,17,176,4,7,0,69,40,31,106,100,968,148,64
2019-12-01,17,210,3,9,2,87,34,31,131,100,901,202,86
2020-01-01,25,332,9,9,1,125,68,46,193,164,1633,190,97
2020-02-01,32,528,6,9,0,217,64,112,279,243,2301,134,77
2020-03-01,44,494,17,16,4,232,74,99,344,237,2258,214,101
2020-04-01,43,655,13,13,1,275,96,162,403,353,2997,196,65
2020-05-01,46,727,16,16,4,245,112,138,335,349,2818,148,70
2020-06-01,50,933,14,17,3,347,163,210,468,471,3619,108,73
2020-07-01,37,810,5,8,0,274,91,167,372,367,2523,569,76
2020-08-01,32,330,4,9,1,172,50,78,249,163,1266,189,63
